,state,district,avg_job_score,job_count,avg_house_score,house_count,job_score_norm,house_score_norm
71,Perak,Ipoh,0.508846915010658,201,0.34191163764988014,138,0.33835686031424106,0.47444092308348473
72,Perak,Kampar,0.39605090119309294,7,0.3024578734336999,8,0.15114552982808005,0.18239032304212488
73,Perak,Kamunting,0.6444178426740171,8,0.32158663755169087,4,0.5633684798219173,0.3239881439268002
74,Perak,Kuala Kangsar,0.43017207146915526,4,0.3533278119622723,1,0.20777758151971293,0.5589474492502209
75,Perak,Lumut,0.4429933921660387,12,0.3391256060362254,5,0.2290575578683055,0.4538177399559191
76,Perak,Parit Buntar,0.4094972912506978,6,0.3263194959086948,1,0.17346295477708196,0.35902242140410356
77,Perak,Seri Manjong,0.45060021607395456,13,0.3388331345031992,3,0.24168285885525487,0.4516527630921834
78,Perak,Simpang,0.4978609499197306,2,0.34888852958291483,2,0.3201230852743401,0.526086324123086
79,Perak,Sitiawan,0.4564583333333333,1,0.3447644360232314,12,0.25140577271678577,0.4955583371829122
80,Perak,Taiping,0.5049252082571458,14,0.3299598918454269,12,0.33184787197100885,0.38596990889567007
81,Perak,Tapah,0.42604166666666665,2,0.3718139613535592,1,0.2009222100189879,0.6957884105485457
82,Perak,Tapah Road,0.5353609499197306,1,0.3284195379095349,1,0.38236309407984437,0.37456766882578973
83,Perak,Teluk Intan,0.4597186494018934,16,0.3329545790385892,9,0.2568170287385433,0.40813763380290613
84,Perak,Ulu Kinta,0.4520276165863973,1,0.3247247698911186,2,0.24405196340094593,0.34721770011609765
85,Perlis,Kangar,0.42375912372264884,19,0.3376349719346371,2,0.19713379687406496,0.4427835435374079
86,Sabah,Beaufort,0.5089951700334863,4,0.3255639237292785,1,0.33860292415227544,0.3534294111360845
87,Sabah,Inanam,0.41113888888888883,2,0.32228738009040075,14,0.1761875694825782,0.32917528596433465
88,Sabah,Keningau,0.43835971501932275,10,0.3268202273893381,1,0.22136688836394636,0.3627290114414996
89,Sabah,Kota Belud,0.48226063362111626,14,0.2964625104472531,1,0.2942307166398225,0.1380105435092136
90,Sabah,Kota Kinabalu,0.5446595633931658,489,0.32096028074523,482,0.39779631499892665,0.31935163116810417
91,Sabah,Papar,0.41195197397367195,6,0.3403144391631134,7,0.17753707409155217,0.46261789971138034
92,Sabah,Penampang,0.5423389469582691,12,0.3242348854874331,47,0.3939447100031356,0.34359140394665477
93,Sabah,Putatan,0.4394406332798204,3,0.3235014469042504,10,0.22316092468531712,0.338162234320702
94,Sabah,Sandakan,0.47700107567224775,55,0.32923245033396753,17,0.2855012517584722,0.38058513169791963
95,Sabah,Sipitang,0.8089230344836749,4,0.2824778386510419,2,0.836403268802831,0.034491098138016874
96,Sabah,Tawau,0.4947634722367292,51,0.341028208811291,12,0.31498209758727713,0.4679014729820925
97,Sabah,Tuaran,0.49383885633330243,10,0.33019264793186986,7,0.31344748153471735,0.38769285108026086
98,Sarawak,Bintulu,0.5084486971619565,100,0.3371339942060518,15,0.3376959247833159,0.43907513068638027
99,Sarawak,Kota Samarahan,0.3817121473327845,16,0.34304116275364277,23,0.12734701872073195,0.48280206405112835
100,Sarawak,Kuching,0.4863781884383242,354,0.32671239667397445,268,0.30106476058862697,0.36193081066774635
101,Sarawak,Miri,0.5002821879800302,155,0.32216981089987085,14,0.3241416953594939,0.3283049975819008
102,Sarawak,Sarikei,0.46554032028293524,4,0.2778183595974062,1,0.26647945132251105,0.0
103,Sarawak,Sibu,0.4582530392199426,81,0.3158739810647381,2,0.2543845063217418,0.2817010570546046
104,Selangor,Ampang,0.5251021559559148,54,0.3247045801572815,104,0.3653362293693977,0.3470682486252463
105,Selangor,Bangi,0.6167611735912009,9,0.3355900502300769,123,0.5174657777620398,0.42764631588069957
106,Selangor,Banting,0.4403276888269848,14,0.3311688350894462,25,0.22463320055375668,0.3949189307912029
107,Selangor,Batang Kali,0.46869428325306395,2,0.33538300963005924,3,0.27171418953672566,0.4261137287456225
108,Selangor,Batu Caves,0.4732927143260916,55,0.3240018640932415,72,0.2793463599494389,0.34186649786105905
109,Selangor,Beranang,0.5379970932691178,10,0.3294434638939674,13,0.38673838968726926,0.3821471280761908
110,Selangor,Bukit Rotan,0.400627868852459,1,0.3273792395904636,1,0.15874207669265217,0.3668670158122511
111,Selangor,Cheras,0.5384362895458159,54,0.3254620390073722,147,0.38746733849071013,0.35267522469129453
112,Selangor,Cyberjaya,0.6746837579410977,116,0.31857818396486215,314,0.6136018353613769,0.3017185153454647
113,Selangor,Dengkil,0.39011859604689775,6,0.3298196745938073,96,0.14129948384045,0.38493197162187087
