Name,Price,Size,Number of beds,Number of bathrooms,Type,Furnished Status,Location,District,State,Facilities,Public transport
"The Arc @ Cyberjaya, Cyberjaya, Selangor","1,600","1,021",3,2,Service Residence,Fully Furnished,"Persiaran Bestari, Cyber 11, 63000 Cyberjaya, Selangor",Cyberjaya,Selangor,"Parking, Security, Lift, Swimming Pool, Minimart, Squash Court",False
"Sky Awani Residensi 4, Setapak, Kuala Lumpur","1,800",800,3,2,Condominium,Partially Furnished,"Off Jalan Jalan 1/23c, Kampung Baru Air Panas, 53200 Setapak, Kuala Lumpur",Setapak,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Alam Sanjung @ Subang West, Shah Alam, Selangor","1,400",864,3,2,Service Residence,Partially Furnished,"Off Persiaran Jubli Perak, Seksyen 22, 40300 Shah Alam, Selangor",Shah Alam,Selangor,,False
"Sandalwood Court, Rawang, Selangor",650,650,3,1,Flat,Not Furnished,"Pinggiran Lembah Hijau 8, Bandar Tasik Puteri, 48020 Rawang, Selangor",Rawang,Selangor,Parking,False
"Simpang Ampat, Penang","1,700","1,760",4,3,2-storey Terraced House,Fully Furnished,,,,"Parking, Security, Swimming Pool, Playground, Gymnasium",False
"I-Santorini, Tanjong Tokong, Penang","1,850",850,3,2,Condominium,Fully Furnished,"Jalan Seri Tanjung Pinang 1, Seri Tanjung Pinang, 10470 Tanjong Tokong, Penang",Tanjong Tokong,Penang,"Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna",False
"Setia Indah, Johor","2,500","1,200",4,3,2-storey Terraced House,Fully Furnished,,,,"Parking, Security, Playground, Jogging Track",False
"Vivo Executive Apartment, Batu Kawan, Penang","1,500",830,3,2,Condominium,Fully Furnished,"Persiaran Cassia Barat 7, Bandar Cassia, 14110 Batu Kawan, Penang",Batu Kawan,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",False
"Puncak Alam, Selangor","1,300","1,080",4,3,2-storey Terraced House,Partially Furnished,,,,,False
"TAR Villa, Setapak, Kuala Lumpur","1,500",998,3,2,Condominium,Partially Furnished,"Jalan 1/27A, Taman Desa Setapak, 53300 Setapak, Kuala Lumpur",Setapak,Kuala Lumpur,"Parking, Security, Lift, Playground, Barbeque area, Minimart",False
"Glomac Damansara, Taman Tun Dr Ismail, Kuala Lumpur","2,800","1,022",3,2,Service Residence,Partially Furnished,"Glomac Damansara, Jalan Damansara, 60000 Taman Tun Dr Ismail, Kuala Lumpur",Taman Tun Dr Ismail,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Alstonia Hilltop Homes @ BRP, Sungai Buloh, Selangor","1,900","1,100",3,2,Condominium,Partially Furnished,"Bukit Rahman Putra, 47000 Sungai Buloh, Selangor",Sungai Buloh,Selangor,"Security, Swimming Pool, Playground, Gymnasium, Jogging Track",False
"Dwiputra Residences, Putrajaya, Putrajaya","2,200",950,3,2,Condominium,Not Furnished,"Off Jalan P15H, Lebuh Perdana Timur, Presint 15, 62050 Putrajaya, Putrajaya",Putrajaya,Putrajaya,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Forest Hill (Kota Kinabalu), Kota Kinabalu, Sabah","2,600",968,3,2,Condominium,Fully Furnished,"Jalan Santung, Off Jalan Bundusan, 88300 Kota Kinabalu, Sabah",Kota Kinabalu,Sabah,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Club house",False
"1Borneo, Kota Kinabalu, Sabah","1,750",880,2,2,Condominium,Fully Furnished,"Off Jalan UMS, 1 Borneo Hypermall, 88400 Kota Kinabalu, Sabah",Kota Kinabalu,Sabah,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"MH Platinum Residency, Setapak, Kuala Lumpur","1,700",570,2,1,Apartment,Fully Furnished,"Jalan Gombak Sejahtera, Taman Tai Onn, 53000 Setapak, Kuala Lumpur",Setapak,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Sunway Belfield, KL City, Kuala Lumpur","2,800",800,2,2,Service Residence,Partially Furnished,"Jalan Belfield, Kampung Attap, 50460 KL City, Kuala Lumpur",KL City,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"QuayWest Residence, Gelugor, Penang","3,500","1,246",3,2,Condominium,Fully Furnished,"Persiaran Bayan Indah Off Bayan Mutiara, 11900 Gelugor, Penang",Gelugor,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall",False
"Vivo Executive Apartment, Batu Kawan, Penang","1,350",730,3,2,Apartment,Partially Furnished,"Persiaran Cassia Barat 7, Bandar Cassia, 14110 Batu Kawan, Penang",Batu Kawan,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Zen Residence @ Asplenium Condominium, Puchong, Selangor","1,400","1,292",3,2,Condominium,Not Furnished,"Jalan Puchong Batu 13/12, 47100 Puchong, Selangor",Puchong,Selangor,"Parking, Security, Swimming Pool, Playground, Gymnasium, Barbeque area",False
"Pearl Suria, Old Klang Road, Kuala Lumpur","2,200",884,2,1,Condominium,Fully Furnished,"Jalan Sepadu, Taman United, 58200 Old Klang Road, Kuala Lumpur",Old Klang Road,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Arte Plus Jalan Ampang, Ampang, Kuala Lumpur","2,200",850,2,2,Service Residence,Fully Furnished,"Jalan Ampang Ulu 3, Kampung Berembang, 55000 Ampang, Kuala Lumpur",Ampang,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Seri Kembangan, Seri Kembangan, Selangor",500,650,3,2,Flat,Not Furnished,,,,,False
"Duduk Se.Ruang @ Eco Sanctuary, Kuala Langat, Selangor","2,200","1,000",3,2,Service Residence,Fully Furnished,"Persiaran Rimba, Eco Santuari, 42500 Kuala Langat, Selangor",Kuala Langat,Selangor,"Parking, Security, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall",False
"Jenjarom, Selangor","1,100","1,050",3,2,Semi-Detached House,Partially Furnished,,,,,False
"Cheras, Selangor","5,500","3,992",5,5,Semi-Detached House,Partially Furnished,,,,,False
"Sandakan, Sabah","1,600","1,800",4,2,2-storey Terraced House,Fully Furnished,,,,"Parking, Playground, Barbeque area, Minimart",False
"My Loft @ Empire City, Damansara Perdana, Selangor","1,300",850,1,2,Condominium,Partially Furnished,"Jalan PJU 8/1,, 47820 Damansara Perdana, Selangor",Damansara Perdana,Selangor,"Security, Lift",False
"Palm Garden @ Bandar Baru Klang, Klang, Selangor","1,550","1,040",3,2,Apartment,Partially Furnished,"Persiaran Bukit Raja, Kawasan 17, Bandar Baru Klang, 41150 Klang, Selangor",Klang,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Minimart",False
"Novus Condominium, Bayan Lepas, Penang","1,600",862,3,2,Condominium,Partially Furnished,"Gerbang Bukit Kecil 2, 11900 Bayan Lepas, Penang",Bayan Lepas,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Greenfield Regency, Johor Bahru, Johor","2,500","1,774",3,3,Apartment,Partially Furnished,"Jalan Skudai Lama, Taman Tampoi Indah, 81200 Johor Bahru, Johor",Johor Bahru,Johor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Multipurpose hall, Jogging Track, Tennis Court",False
"98 Nibong Residence, Bayan Lepas, Penang","1,800","1,713",3,2,Condominium,Partially Furnished,"Persiaran Pantai Jerjak 1, Kampung Sungai Nibong, 11900 Bayan Lepas, Penang",Bayan Lepas,Penang,"Parking, Security, Lift, Swimming Pool, Gymnasium, Barbeque area, Multipurpose hall",False
"Royal Strand @ Country Garden Danga Bay, Johor Bahru, Johor","3,000","1,000",3,2,Condominium,Fully Furnished,"Persiaran Danga Perdana, Danga Bay, 80200 Johor Bahru, Johor",Johor Bahru,Johor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Taman Pekaka Block 31, Gelugor, Penang","1,400",850,3,2,Apartment,Fully Furnished,"Lorong Pekaka 1, Taman Pekaka, 11700 Gelugor, Penang",Gelugor,Penang,"Parking, Security, Lift, Playground, Gymnasium, Barbeque area",False
"DK Impian, Shah Alam, Selangor","1,000",300,1,1,Service Residence,Fully Furnished,"Jalan Uranus U5/125, Subang Pelangi, 40150 Shah Alam, Selangor",Shah Alam,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Sunway Onsen Condominium Ipoh, Ipoh, Perak","2,300",590,1,1,Studio,Fully Furnished,,,,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"De Bayu Apartment, Setia Alam, Selangor","1,200",900,3,2,Apartment,Not Furnished,"Persiaran Setia Makmur, Seksyen U13, 40170 Setia Alam, Selangor",Setia Alam,Selangor,"Parking, Security, Lift, Playground, Jogging Track",False
"Sungai Petani, Kedah",800,"1,000",3,2,Terraced House,Not Furnished,,,,"Parking, Playground, Jogging Track",False
"saujana apartment, Damansara Damai, Selangor","1,100",850,3,2,Apartment,Partially Furnished,"Jalan 10/1C, 47830 Damansara Damai, Selangor",Damansara Damai,Selangor,"Parking, Security, Swimming Pool",False
"Skudai, Johor","1,600","1,130",3,2,Townhouse,Fully Furnished,,,,"Parking, Security, Swimming Pool, Playground",False
"Marriott Residences, Georgetown, Penang","4,999",871,2,2,Service Residence,Fully Furnished,"Persiaran Gurney, 10250 Georgetown, Penang",Georgetown,Penang,"Parking, Security, Swimming Pool, Gymnasium, Sauna, Barbeque area",False
"BSP IDAMAN, Puchong, Selangor","1,150","1,022",3,2,Apartment,Partially Furnished,,,,,False
"Idaman Bsp apartment, Puchong, Selangor","1,050","1,022",3,3,Apartment,Partially Furnished,,,,"Parking, Security, Lift, Playground",False
"Kingfisher @ Inanam, Inanam, Sabah","1,400",865,3,2,Condominium,Not Furnished,"Jalan Kitobu Keronggu, 88450 Inanam, Sabah",Inanam,Sabah,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Jogging Track",False
"Setapak Ria Condominium, Setapak, Kuala Lumpur","1,400",911,3,2,Condominium,Partially Furnished,"No.2, Jalan Mata Air 2, Taman Ayer Panas, 53300 Setapak, Kuala Lumpur",Setapak,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Tennis Court, Squash Court",False
"Kuching, Sarawak","1,000","1,500",7,3,Semi-Detached House,Not Furnished,,,,,False
"South China Sea Place, Kota Kinabalu, Sabah","2,500",636,2,2,Apartment,Fully Furnished,"Lebuhraya Pantai, 88800 Kota Kinabalu, Sabah",Kota Kinabalu,Sabah,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Citywoods, Johor Bahru, Johor","2,200",850,2,2,Service Residence,Fully Furnished,"4, Jalan Abdul Samad, Kampung Bahru, 80100 Johor Bahru, Johor",Johor Bahru,Johor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall",False
"Riverville Residences, Old Klang Road, Kuala Lumpur","2,400","1,100",3,2,Condominium,Partially Furnished,"Jalan Taman Sri Sentosa, Taman Sri Sentosa, 58000 Old Klang Road, Kuala Lumpur",Old Klang Road,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Amadesa Resort Condominium, Desa Petaling, Kuala Lumpur","1,400","1,150",3,2,Condominium,Partially Furnished,"Jalan 5/125, Taman Desa Petaling, 57100 Desa Petaling, Kuala Lumpur",Desa Petaling,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Sky Awani Residensi, Sentul, Sentul, Kuala Lumpur","1,399",800,3,2,Condominium,Partially Furnished,"Jalan Sentul Pasar, Sentul Pasar, 51100 Sentul, Kuala Lumpur",Sentul,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Arinna, Kemuning Utama, Shah Alam, Selangor","1,600","1,011",3,2,Condominium,Partially Furnished,"Paramount Property Gallery @ Arinna, G-G-03 & G-G-3A (Block G), Sekitar26 Enterprise, Persiaran Hulu Selangor, Seksyen 26, 40400 Shah Alam, Selangor",Shah Alam,Selangor,"Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Club house, Jogging Track",False
"Taman Jubilee Phase 5, Gelugor, Penang",900,750,3,2,Apartment,Not Furnished,"Lengkok Nipah 2, Taman Lip Sin, 11700 Gelugor, Penang",Gelugor,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Jogging Track, Tennis Court, Squash Court",False
"KL Traders Square Residences, Setapak, Kuala Lumpur","1,450",940,4,2,Service Residence,Partially Furnished,"Jalan Gombak, Batu 4, Kampung Kuantan, 53000 Setapak, Kuala Lumpur",Setapak,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track",False
"Arte @ Subang West, Shah Alam, Selangor","2,500","1,020",3,2,Condominium,Fully Furnished,"Jalan Boling Padang 13/62, Seksyen 13, 40100 Shah Alam, Selangor",Shah Alam,Selangor,"Parking, Security, Lift, Swimming Pool, Gymnasium, Barbeque area",False
"Tanjung Bungah, Penang","1,000",850,3,2,Townhouse,Partially Furnished,,,,,False
"Ulu Tiram, Johor","1,700","1,400",3,2,1-storey Terraced House,Partially Furnished,,,,"Parking, Playground",False
"The Raffles Suites, Johor Bahru, Johor","1,800",867,2,2,Condominium,Fully Furnished,"Jalan Uda Utama 3/14, Bandar Uda Utama, 81200 Johor Bahru, Johor",Johor Bahru,Johor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Jogging Track",False
"LBS Skylake Residence, Puchong, Selangor","2,100","1,050",3,2,Service Residence,Fully Furnished,"alan Putra Perdana 5A, Taman Putra Perdana, 47130 Puchong, Selangor",Puchong,Selangor,"Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna",False
"Platinum Lake PV 20, Setapak, Kuala Lumpur","1,700","1,378",4,2,Condominium,Partially Furnished,"No. 5 Jalan Usahawan 2, Jalan Genting Kelang, 53200 Setapak, Kuala Lumpur",Setapak,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Suria @ North Kiara, Segambut, Kuala Lumpur","1,500",713,2,2,Service Residence,Partially Furnished,"Jalan Seri Bintang, Taman Sri Bintang, 51200 Segambut, Kuala Lumpur",Segambut,Kuala Lumpur,"Parking, Security, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart",False
"Setia Indah, Johor","2,500","1,800",4,3,2-storey Terraced House,Fully Furnished,,,,,False
"Pokok Mangga, Melaka",900,"1,000",3,2,Terraced House,Not Furnished,,,,"Parking, Playground, Minimart",False
"LBS Skylake Residence, Puchong, Selangor","1,650",871,2,2,Service Residence,Partially Furnished,"alan Putra Perdana 5A, Taman Putra Perdana, 47130 Puchong, Selangor",Puchong,Selangor,"Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna",False
"Parc Regency, Masai, Johor","1,400",810,2,2,Service Residence,Partially Furnished,"Jalan Masai Jaya 2, Taman Saujana, 81750 Masai, Johor",Masai,Johor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"SKS Pavillion Residences, Johor Bahru, Johor","1,800",470,1,1,Condominium,Fully Furnished,"Jalan Storey, Bukit Senyum, 80300 Johor Bahru, Johor",Johor Bahru,Johor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall",False
"Aman 1 Tropicana Urban Homes, Kuala Langat, Selangor","1,550",870,3,2,Condominium,Fully Furnished,"Jalan Aman Simfoni 1, Bandar Tropicana Aman, 42500 Kuala Langat, Selangor",Kuala Langat,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Residensi Panorama, Johor Bahru, Johor","2,100","1,268",4,2,Apartment,Partially Furnished,"Jalan Bayu Puteri 2, 80150 Johor Bahru, Johor",Johor Bahru,Johor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Parc Regency, Masai, Johor","1,450",750,2,2,Service Residence,Partially Furnished,"Jalan Masai Jaya 2, Taman Saujana, 81750 Masai, Johor",Masai,Johor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Orange BM, Bukit Mertajam, Penang","1,200",850,3,2,Condominium,Partially Furnished,"Jalan Song Ban Kheng, Taman Bukit Kecil, 14000 Bukit Mertajam, Penang",Bukit Mertajam,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Multipurpose hall",False
"Residensi MH Platinum 2, Setapak, Kuala Lumpur","1,450",692,3,2,Service Residence,Not Furnished,"Jalan Usahawan 6, Setapak Jaya, 53300 Setapak, Kuala Lumpur",Setapak,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"MJC SOHO, Kuching, Sarawak",700,650,2,1,Apartment,Partially Furnished,"Off Jalan Batu Kawa, Bandar Baru Batu Kawa, 93250 Kuching, Sarawak",Kuching,Sarawak,"Parking, Playground, Minimart, Jogging Track",False
"Sinaran Residences @ Utropolis, Batu Kawan, Penang","2,600","1,044",4,2,Service Residence,Fully Furnished,"Lebuhraya Bandar Cassia, 14110 Batu Kawan, Penang",Batu Kawan,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Traders Park Residence, Cheras, Selangor","1,300",552,1,1,Service Residence,Not Furnished,"Jalan Suakasih, 43200 Cheras, Selangor",Cheras,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Pangsapuri Sri Angkasa, Shah Alam, Selangor","1,500",950,3,2,Apartment,Fully Furnished,"Jalan Kanchung Darat 28/7, 40150 Shah Alam, Selangor",Shah Alam,Selangor,"Parking, Security, Playground",False
"Amani Residences, Puchong, Selangor","1,500",732,2,2,Service Residence,Partially Furnished,"Jalan Puteri 3, 47100 Puchong, Selangor",Puchong,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Ampang, Kuala Lumpur","6,000","1,013",3,2,Others,Fully Furnished,,,,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Jelutong, Penang","6,000","12,150",6,3,Bungalow House,Not Furnished,,,,Parking,False
"Seri Warisan Apartment, Kota Kinabalu, Sabah","1,200","1,216",3,2,Apartment,Partially Furnished,"Lorong Seri Warisan 2, Off Jalan Tuaran, 88400 Kota Kinabalu, Sabah",Kota Kinabalu,Sabah,"Parking, Playground",False
"MARC Residences, Bukit Mertajam, Penang","2,500",850,2,1,Condominium,Fully Furnished,"Jalan Song Ban Kheng, 14000 Bukit Mertajam, Penang",Bukit Mertajam,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area",False
"Puchong, Selangor","1,700","1,400",4,3,2-storey Terraced House,Fully Furnished,,,,,False
"Johor Bahru, Johor","2,250","1,500",4,3,2-storey Terraced House,Partially Furnished,,,,,False
"Mont Residence @ Penang, Tanjong Tokong, Penang","1,850","1,226",3,2,Condominium,Partially Furnished,"Persiaran Halia 3, Off Jalan Mount Erskine, 10470 Tanjong Tokong, Penang",Tanjong Tokong,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Verve Suites @ Mont Kiara, Mont Kiara, Kuala Lumpur","3,600",862,2,2,Service Residence,Fully Furnished,"Jalan Kiara 5, 50480 Mont Kiara, Kuala Lumpur",Mont Kiara,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Traders Garden @ Cheras Selatan, Cheras, Selangor","1,600",604,2,2,Service Residence,Fully Furnished,"Jalan Dataran Cheras 6, 43200 Cheras, Selangor",Cheras,Selangor,"Parking, Security, Lift, Swimming Pool, Playground",False
"Telok Panglima Garang, Selangor","1,650","1,170",3,3,2-storey Terraced House,Partially Furnished,,,,"Parking, Playground, Jogging Track",False
"Iskandar Puteri, Johor","6,000","2,300",4,4,Cluster House,Fully Furnished,,,,,False
"Tanjung Park Condominium, Tanjong Tokong, Penang","1,700",900,3,2,Condominium,Fully Furnished,"Persiaran Lengkuas 2, Taman Seri Tanjung, 10470 Tanjong Tokong, Penang",Tanjong Tokong,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Berjaya Condominium, Bukit Mertajam, Penang","1,700","1,727",4,4,Condominium,Partially Furnished,"Off Lorong Berjaya Baru 2, Kampung Baru, 14000 Bukit Mertajam, Penang",Bukit Mertajam,Penang,"Parking, Security, Swimming Pool, Playground, Gymnasium, Jogging Track",False
"Hyde Tower @ i-City, Shah Alam, Selangor","2,000",753,2,2,Service Residence,Fully Furnished,"Jalan Plumbum 7/102, 40000 Shah Alam, Selangor",Shah Alam,Selangor,"Parking, Security, Swimming Pool, Gymnasium, Multipurpose hall",False
"Dsummit residence , Setia Tropika, Johor","1,700",800,2,2,Condominium,Fully Furnished,,,,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall",False
"Setia V Residences, Georgetown, Penang","4,800","1,450",2,2,Condominium,Fully Furnished,"Lorong Burma, 10250 Georgetown, Penang",Georgetown,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Lagoon Perdana, Petaling Jaya, Selangor","1,200",852,3,2,Apartment,Partially Furnished,"Jalan PJS 9/1, Bandar Sunway, 46150 Petaling Jaya, Selangor",Petaling Jaya,Selangor,"Parking, Security, Lift, Playground, Multipurpose hall",False
"Gugusan Semarak, Kota Damansara, Selangor",700,650,3,2,Flat,Not Furnished,"Off Jalan Camar 4/1, 47810 Kota Damansara, Selangor",Kota Damansara,Selangor,"Parking, Playground",False
"KSL Residence 2 @ Kangkar Tebrau, Johor Bahru, Johor","1,850",800,2,2,Service Residence,Fully Furnished,"Jalan Kangkar Tebrau, Off Jalan Pandan, 81100 Johor Bahru, Johor",Johor Bahru,Johor,"Parking, Security, Swimming Pool, Playground, Barbeque area, Multipurpose hall",False
"Taman bukit jambul, Bukit Jambul, Penang","1,200",860,3,2,Apartment,Not Furnished,,,,,False
"Starhill Luxury Residences, Gelugor, Penang","2,000","1,258",3,2,Condominium,Not Furnished,"Halaman Bukit Gambir 8, Sunway Bukit Gambier, 11700 Gelugor, Penang",Gelugor,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area",False
"Mont Kiara Bayu, Mont Kiara, Kuala Lumpur","2,599","1,000",2,2,Condominium,Fully Furnished,"No.2, Jalan Kiara 2, 50480 Mont Kiara, Kuala Lumpur",Mont Kiara,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Traders Park Residence, Cheras, Selangor","1,400",604,2,2,Service Residence,Not Furnished,"Jalan Suakasih, 43200 Cheras, Selangor",Cheras,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Vista Serdang Apartment, Seri Kembangan, Selangor","1,000",800,3,2,Apartment,Partially Furnished,"Jalan Kasturi, Taman Bukit Serdang, 43300 Seri Kembangan, Selangor",Seri Kembangan,Selangor,"Parking, Security, Lift, Swimming Pool, Playground",False
"Bandar Botanic, Selangor","2,400","1,500",4,3,2-storey Terraced House,Partially Furnished,,,,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Maple Residences, Klang, Selangor","2,200","1,250",3,2,Service Residence,Fully Furnished,"Off Jalan Klang Banting, Bandar Bestari, 42000 Klang, Selangor",Klang,Selangor,"Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna",False
"I-Regency Condominium (Ideal Regency), Gelugor, Penang","1,800","1,300",3,2,Condominium,Fully Furnished,"Lebuh Minden 1, Off Jalan Bukit Gambier, 11700 Gelugor, Penang",Gelugor,Penang,"Security, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Jogging Track",False
"SkyPod Residences, Puchong, Selangor","3,000","1,033",3,2,Service Residence,Fully Furnished,"Persiaran Puchong Jaya Selatan, 47100 Puchong, Selangor",Puchong,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"One Imperial, Sungai Ara, Penang","1,800","1,180",3,2,Condominium,Fully Furnished,"Lintang Sungai Ara 14, 11900 Sungai Ara, Penang",Sungai Ara,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Tropicana Grande, Petaling Jaya, Selangor","6,000","3,000",4,4,Condominium,Partially Furnished,"Persiaran Tropicana, Tropicana Damansara, 47410 Petaling Jaya, Selangor",Petaling Jaya,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track",False
"Tropicana Bay Residences @ PWC, Bayan Lepas, Penang",150,100,1,1,Condominium,Not Furnished,"Off Persiaran Byan Indah, 11900 Bayan Lepas, Penang",Bayan Lepas,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall, Club house, Tennis Court, Squash Court",False
"Traders Park Residence, Cheras, Selangor","2,299",859,3,2,Service Residence,Fully Furnished,"Jalan Suakasih, 43200 Cheras, Selangor",Cheras,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"The Peak Condominium, Kota Kinabalu, Sabah","3,000","1,300",3,2,Condominium,Fully Furnished,"Jalan Signal Hill Park, 88400 Kota Kinabalu, Sabah",Kota Kinabalu,Sabah,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Cerrado @ Southville City, Bangi, Selangor","1,800",869,3,2,Service Residence,Fully Furnished,"Off Lebuhraya Utara Selatan, Southville City, 43000 Bangi, Selangor",Bangi,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Jogging Track",False
"Klang, Selangor","2,300","2,075",4,3,2-storey Terraced House,Partially Furnished,,,,,False
"Vivo Executive Apartment, Batu Kawan, Penang","1,550",730,2,2,Apartment,Fully Furnished,"Persiaran Cassia Barat 7, Bandar Cassia, 14110 Batu Kawan, Penang",Batu Kawan,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Lake Point Residence, Cyberjaya, Selangor","2,300",968,3,2,Condominium,Fully Furnished,"Persiaran Sepang, 63000 Cyberjaya, Selangor",Cyberjaya,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Orchard Ville, Bayan Lepas, Penang","1,650","1,100",3,2,Condominium,Fully Furnished,"Lengkuk Kelicap, Mutiara Perdana, 11900 Bayan Lepas, Penang",Bayan Lepas,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track",False
"City Of Dreams, Tanjong Tokong, Penang","4,750","1,335",3,2,Service Residence,Fully Furnished,"Jalan Peter Paul Dason, Seri Tanjung Pinang, 10470 Tanjong Tokong, Penang",Tanjong Tokong,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Kota Kinabalu, Sabah","2,100","2,000",3,2,1-storey Terraced House,Partially Furnished,,,,,False
"Green Avenue, Bukit Jalil, Kuala Lumpur","1,400","1,080",4,2,Condominium,Partially Furnished,"Jalan Jalil Perkasa 1, 57000 Bukit Jalil, Kuala Lumpur",Bukit Jalil,Kuala Lumpur,"Parking, Security, Swimming Pool, Playground, Gymnasium, Barbeque area",False
