Name,Price,Size,Number of beds,Number of bathrooms,Type,Furnished Status,Location,District,State,Facilities,Public transport
"Apartment Indah, Damansara Damai, Selangor",850,850,3,2,Apartment,Not Furnished,"Jalan PJU 10/1C, 47830 Damansara Damai, Selangor",Damansara Damai,Selangor,"Parking, Playground",False
"Jazz Suites @ Vivacity, Kuching, Sarawak","7,500",1,5,5,Condominium,Fully Furnished,"Jalan Wan Alwi, Tabuan Jaya, 93350 Kuching, Sarawak",Kuching,Sarawak,"Parking, Security, Swimming Pool",False
"Rawang, Selangor","2,300","2,325",5,4,2-storey Terraced House,Partially Furnished,,,,"Parking, Security, Swimming Pool, Playground, Gymnasium, Minimart",False
"TWY Duplex Condos @ Mont Kiara, Mont Kiara, Kuala Lumpur","2,600",662,1,1,Condominium,Fully Furnished,"Jalan Duta Kiara, 50480 Mont Kiara, Kuala Lumpur",Mont Kiara,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna",False
"Kiara Plaza, Semenyih, Selangor","1,000",450,1,1,Service Residence,Fully Furnished,"Off Jalan Semenyih, 43500 Semenyih, Selangor",Semenyih,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"The Henge Kepong, Kepong, Kuala Lumpur","1,800","1,100",3,2,Condominium,Partially Furnished,"Jalan Metro Perdana Barat, 52100 Kepong, Kuala Lumpur",Kepong,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Ketumbar Heights, Cheras, Kuala Lumpur","1,300",903,4,2,Condominium,Fully Furnished,"Jalan 6/95B, Taman Cheras, 56100 Cheras, Kuala Lumpur",Cheras,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Johor Bahru, Johor","4,000","2,683",5,6,2-storey Terraced House,Fully Furnished,,,,,False
"Skudai, Johor","1,500","1,540",3,2,2-storey Terraced House,Not Furnished,,,,,False
"Sri Dahlia Apartment (Kajang), Kajang, Selangor","1,100",987,3,1,Apartment,Partially Furnished,"Jalan Sepakat Indah 2/1, Taman Sepakat Indah 2, 43000 Kajang, Selangor",Kajang,Selangor,"Parking, Security, Lift, Playground, Multipurpose hall, Jogging Track",False
"Bukit Citra Residensi, Nilai, Negeri Sembilan",900,"1,020",3,2,Apartment,Not Furnished,"Jalan Bukit Citra 10/1, 71700 Nilai, Negeri Sembilan",Nilai,Negeri Sembilan,"Parking, Security, Playground, Jogging Track",False
"Muze @ PICC, Bayan Lepas, Penang","3,300","1,098",3,2,Condominium,Fully Furnished,"Persiaran Mahsuri, Off Jalan Tun Dr Awang, 11950 Bayan Lepas, Penang",Bayan Lepas,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"i-Suite @ i-City, I-City, Selangor","1,400",626,2,1,Apartment,Fully Furnished,"Jalan Multimedia 7/AG, Off Jalan Siber, 40000 I-City, Selangor",I-City,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Residensi Seri Wahyu @ Jalan Kuching KL, KL City, Kuala Lumpur","1,400",900,3,2,Apartment,Partially Furnished,"Jalan Sibu, Taman Wahyu, 68100 KL City, Kuala Lumpur",KL City,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
