job_id,title,company,location,salary,date_posted,contractType,source
0c7defae215941218151743fade86d01,PEKERJA AM ,EURASIA EXPRESS SDN BHD,"{'STATE': 'MY_KDH', 'CITY': 'MY_KDH_sungai_petani', 'POSTAL_CODE': 'MY_08000'}",170000,,"{'id': '4', 'name': 'Contract'}",MyFutureJobs
dc23cd740c6e4b14884e4475c0150a57,SALES MERCHANDISER GURUN,Dwangi Freshener Sdn Bhd,"{'STATE': 'MY_KDH', 'CITY': 'MY_KDH_alor_setar', 'POSTAL_CODE': 'MY_05100'}",2000,,"{'id': '4', 'name': 'Contract'}",MyFutureJobs
87f9e0263f3d465c972d40e0c307be58,English Teacher (Part Time),PUSAT BAHASA TITIAN JAYA (SUNGAI PETANI) SDN BHD,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_sungai_petani', 'POSTAL_CODE': 'MY_08000'}",1500,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
6981859aae304575af6ae8eed321d455,LIVE HOST,YEOH YEN KEONG SDN BHD,"{'STATE': 'MY_KDH', 'CITY': 'MY_KDH_sungai_petani', 'POSTAL_CODE': 'MY_08000'}",2500,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
339051ac0a624d598aa55a506407309e,SALES MERCHANDISER PERLIS,Dwangi Freshener Sdn Bhd,"{'STATE': 'MY_KDH', 'CITY': 'MY_KDH_alor_setar', 'POSTAL_CODE': 'MY_05100'}",2000,,"{'id': '4', 'name': 'Contract'}",MyFutureJobs
0fdceff8e79e42e597300e5821f5b5df,SALES MERCHANDISER SUNGAI PETANI,Dwangi Freshener Sdn Bhd,"{'STATE': 'MY_KDH', 'CITY': 'MY_KDH_alor_setar', 'POSTAL_CODE': 'MY_05100'}",2000,,"{'id': '4', 'name': 'Contract'}",MyFutureJobs
a69eca8dfe9d4f0db70af57026d4753e,PEMANDU MESIN PADI & TRACTOR,WORLDSTAR AM (M) SDN BHD,"{'STATE': 'MY_KDH', 'CITY': 'MY_KDH_jitra', 'POSTAL_CODE': 'MY_06000'}",1700,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
81c80d2b07364d64bb789c71aeed43d8,PEKERJA AM,EURASIA EXPRESS SDN BHD,"{'STATE': 'MY_KDH', 'CITY': 'MY_KDH_gurun', 'POSTAL_CODE': 'MY_08300'}",1700,,"{'id': '4', 'name': 'Contract'}",MyFutureJobs
a7e9230eae3e442c89a079159e421f0b,Internship Training-Accounting ,UNIRISE MANAGEMENT,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_sungai_petani', 'POSTAL_CODE': 'MY_08000'}",800,,"{'id': '6', 'name': 'Internship'}",MyFutureJobs
cde99dd252a14caabba2908b10c7144d,Internship Training-Accounting ,UNIRISE MANAGEMENT,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_sungai_petani', 'POSTAL_CODE': 'MY_08000'}",700,,"{'id': '6', 'name': 'Internship'}",MyFutureJobs
627333fe6beb42e68706c86913a612e8,Mandarin Teacher  (Part Time),PUSAT BAHASA TITIAN JAYA (SUNGAI PETANI) SDN BHD,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_sungai_petani', 'POSTAL_CODE': 'MY_08000'}",1500,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
7d028ea8ed0247bd965a97d745f599c4,Japanese Teacher (Part time),PUSAT BAHASA TITIAN JAYA (SUNGAI PETANI) SDN BHD,"{'STATE': 'MY_KDH', 'CITY': 'MY_KDH_sungai_petani', 'POSTAL_CODE': 'MY_08000'}",1200,,"{'id': '3', 'name': 'Part-time'}",MyFutureJobs
6f6b6de0a6f04e6cbdbc5d1c487ec7bb,Delivery Assistant Sungai Petani(GDL),BAN HIN BEE SDN BHD,"{'STATE': 'MY_KDH', 'CITY': 'MY_KDH_sungai_petani', 'POSTAL_CODE': 'MY_08000'}",2000,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
42225e38df80435d894cd29cbf5581ef,Administrative Assistant,H & Y MAINTENANCE SDN BHD,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_sungai_petani', 'POSTAL_CODE': 'MY_08000'}",1800,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
9d95cad48eb34525ac31c949f5d32793,JUNIOR ACCOUNT OFFICER,BORONG DIN AS CASH & CARRY SDN. BHD,"{'STATE': 'MY_KDH', 'CITY': 'MY_KDH_alor_setar', 'POSTAL_CODE': 'MY_05100'}",2000,,"{'id': '4', 'name': 'Contract'}",MyFutureJobs
72fc96674a574ff5bd19d129bf0488c8,Staff Test Engineer - System Attach PMIC (SAP),RENESAS SEMICONDUCTOR (KEDAH) SDN. BHD.,"{'STATE': 'MY_KDH', 'CITY': 'MY_KDH_kulim', 'POSTAL_CODE': 'MY_09000'}",10000,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
