Name,Price,Size,Number of beds,Number of bathrooms,Type,Furnished Status,Location,District,State,Facilities,Public transport
"Forest Green, Kajang, Selangor",1800,1000,3.0,2.0,Condominium,Fully Furnished,"Jalan Sungai Long, Bandar Sungai Long, 43200 Kajang, Selangor",Kajang,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Prima Duta, Segambut, Kuala Lumpur",2000,1508,3.0,3.0,Condominium,Partially Furnished,"Jalan Dutamas Raya, Taman Segambut Sppk, 51200 Segambut, Kuala Lumpur",Segambut,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Seri Iskandar, Perak",650,1300,3.0,2.0,1-storey Terraced House,Partially Furnished,"Seri Iskandar, Perak",Seri Iskandar,Perak,"Parking, Gymnasium, Minimart",False
"Kok Lanas, Kelantan",700,1,3.0,2.0,Terraced House,Not Furnished,"Kok Lanas, Kelantan",Kok Lanas,Kelantan,Parking,False
"Adria Residences, Klang, Selangor",1550,893,2.0,2.0,Service Residence,Partially Furnished,"Jalan Bayu Laut 1/KS 09, Kota Bayu Emas, 41200 Klang, Selangor",Klang,Selangor,"Parking, Security, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall",False
"The Light Collection IV, Gelugor, Penang",12000,5619,4.0,5.0,Condominium,Fully Furnished,"Off Jalan Pantai Sinaran, 11700 Gelugor, Penang",Gelugor,Penang,"Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna",False
"AmberSide @ Country Garden Danga Bay, Johor Bahru, Johor",2000,920,2.0,2.0,Condominium,Fully Furnished,"Persiaran Danga Perdana, Danga Bay, 80200 Johor Bahru, Johor",Johor Bahru,Johor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Tennis Court",False
"D'camellia Apartment, Semenyih, Selangor",950,860,3.0,2.0,Apartment,Partially Furnished,"D'camellia Apartment, Semenyih, Selangor",Semenyih,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Mutiara Ville @ Cyberjaya, Cyberjaya, Selangor",2300,1100,3.0,2.0,Condominium,Fully Furnished,"Persiaran Sepang Off Persiaran Multimedia, 63000 Cyberjaya, Selangor",Cyberjaya,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",False
"Suria Rafflesia, Setia Alam, Selangor",1100,750,3.0,2.0,Apartment,Partially Furnished,"Jalan Setia Perdana U13/28, Alam Nusantara, 40170 Setia Alam, Selangor",Setia Alam,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area",False
"Pasir Gudang, Johor",1800,2070,4.0,3.0,2-storey Terraced House,Not Furnished,"Pasir Gudang, Johor",Pasir Gudang,Johor,None,False
"Cyberia SmartHomes, Cyberjaya, Selangor",1600,1200,3.0,2.0,Condominium,Partially Furnished,"Jalan Cyberia 1, Off Persiaran Multimedia, 63000 Cyberjaya, Selangor",Cyberjaya,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Setia V Residences, Georgetown, Penang",5500,1790,3.0,2.0,Condominium,Fully Furnished,"Lorong Burma, 10250 Georgetown, Penang",Georgetown,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Squash Court",False
"Scarletz Suites @ KL City Centre, KLCC, Kuala Lumpur",2610,450,1.0,1.0,Apartment,Fully Furnished,"Lorong Yap Kwan Seng, Kampung Baru, 50450 KLCC, Kuala Lumpur",KLCC,Kuala Lumpur,"Security, Lift, Swimming Pool, Gymnasium",False
"P3 Residence @ Balik Pulau, Balik Pulau, Penang",1200,911,3.0,2.0,Apartment,Fully Furnished,"Lorong Prestij 1, Off Jalan Kuala Jalan Baru, 11010 Balik Pulau, Penang",Balik Pulau,Penang,"Parking, Security, Playground, Gymnasium, Sauna, Barbeque area",False
"Flexus Signature Suites, Jalan Kuching, Kuala Lumpur",1599,583,1.0,1.0,Service Residence,Fully Furnished,"Jalan Kuching, Kampung Pasir Segambut, 51200 Jalan Kuching, Kuala Lumpur",Jalan Kuching,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Minimart, Multipurpose hall, Jogging Track",False
"The Scott Garden SOHO, Old Klang Road, Kuala Lumpur",1400,775,1.0,2.0,Service Residence,Partially Furnished,"Jalan Klang Lama, 58200 Old Klang Road, Kuala Lumpur",Old Klang Road,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Senawang, Negeri Sembilan",1250,1300,4.0,3.0,2-storey Terraced House,Not Furnished,"Senawang, Negeri Sembilan",Senawang,Negeri Sembilan,"Parking, Security, Playground, Minimart, Jogging Track",False
"Bandar Puteri Klang, Selangor",6000,5077,6.0,6.0,Bungalow House,Partially Furnished,"Bandar Puteri Klang, Selangor",Bandar Puteri Klang,Selangor,None,False
"Central Residence @ Sg Besi, Sungai Besi, Kuala Lumpur",1200,565,2.0,1.0,Apartment,Fully Furnished,"Jalan Sungai Besi, 57100 Sungai Besi, Kuala Lumpur",Sungai Besi,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall",False
"Medini Signature, Iskandar Puteri, Johor",2800,980,2.0,2.0,Condominium,Fully Furnished,"Persiaran Medini Utara 3, Medini Iskandar Malaysia, 79250 Iskandar Puteri, Johor",Iskandar Puteri,Johor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Simpang Ampat, Penang",1600,1650,4.0,4.0,2-storey Terraced House,Partially Furnished,"Simpang Ampat, Penang",Simpang Ampat,Penang,None,False
"PV9 Residences @ Taman Melati, Setapak, Kuala Lumpur",2700,1000,3.0,2.0,Service Residence,Fully Furnished,"Jalan Kampung Wira Jaya, 53100 Setapak, Kuala Lumpur",Setapak,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Club house, Jogging Track",False
"28 Boulevard, Pandan Perdana, Kuala Lumpur",1800,450,1.0,1.0,Service Residence,Fully Furnished,"28, Jalan Perdana 3/10, Pandan Perdana, 55300 Pandan Perdana, Kuala Lumpur",Pandan Perdana,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Pelagos Designer Suites, Kota Kinabalu, Sabah",2600,780,1.0,2.0,Condominium,Fully Furnished,"Jalan Tun Fuad Stephen, 88000 Kota Kinabalu, Sabah",Kota Kinabalu,Sabah,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Club house",False
"Sri Kinabalu, Wangsa Maju, Kuala Lumpur",2100,1104,4.0,2.0,Apartment,Partially Furnished,"Jalan 4/27e, Seksyen 10, 53300 Wangsa Maju, Kuala Lumpur",Wangsa Maju,Kuala Lumpur,"Parking, Security, Swimming Pool, Playground, Gymnasium, Barbeque area, Tennis Court",False
"Pangsapuri Sri Kemuning, Shah Alam, Selangor",850,750,3.0,2.0,Apartment,Not Furnished,"No 3, Jalan Anggerik Aranda 31/42, Section 31, 40460 Shah Alam, Selangor",Shah Alam,Selangor,"Parking, Security, Playground, Multipurpose hall",False
"Sunway Avila Residences, Wangsa Maju, Kuala Lumpur",4000,1300,4.0,3.0,Service Residence,Fully Furnished,"Jalan Seri Wangsa 1, Taman Sri Rampai, 53300 Wangsa Maju, Kuala Lumpur",Wangsa Maju,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track",False
"Cyberia Crescent 1, Cyberjaya, Selangor",1700,1200,3.0,2.0,Condominium,Partially Furnished,"Jalan Fauna 1, Off Persiaran Bestari, 63000 Cyberjaya, Selangor",Cyberjaya,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"The M @ Medini Macrolink, Iskandar Puteri, Johor",1500,743,2.0,2.0,Service Residence,Fully Furnished,"Persiaran Medini Sentral 1, 79250 Iskandar Puteri, Johor",Iskandar Puteri,Johor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Jogging Track",False
"Sri Damansara, Kuala Lumpur",2250,1650,4.0,3.0,2-storey Terraced House,Not Furnished,"Sri Damansara, Kuala Lumpur",Sri Damansara,Kuala Lumpur,"Parking, Security",False
"LakeFront Residence, Cyberjaya, Selangor",2599,1010,3.0,2.0,Condominium,Fully Furnished,"Off Persiaran Bestari, 63000 Cyberjaya, Selangor",Cyberjaya,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Minimart, Multipurpose hall, Jogging Track",False
"Apartment Indah, Damansara Damai, Selangor",850,850,3.0,2.0,Apartment,Not Furnished,"Jalan PJU 10/1C, 47830 Damansara Damai, Selangor",Damansara Damai,Selangor,"Parking, Playground",False
